source_id;title;type;url;note;confidence
SRC000001;Rožmberkové;encyklopedický přehled;https://cs.wikipedia.org/wiki/Ro%C5%BEmberkov%C3%A9;základní přehled rodu;C
SRC000002;Rodokmen Rožmberků;genealogický přehled;https://cs.wikipedia.org/wiki/Rodokmen_Ro%C5%BEmberk%C5%AF;pracovní genealogický základ;C
SRC000003;Rožmberkové – Encyklopedie Český Krumlov;encyklopedie;https://encyklopedie.ckrumlov.cz/cz/mesto_histor_rozmbe/;Krumlov, Rožmberk, Vyšší Brod;B
SRC000004;Petr Vok z Rožmberka;biografie;https://cs.wikipedia.org/wiki/Petr_Vok_z_Ro%C5%BEmberka;Petr Vok, poslední Rožmberk;C
SRC000005;Hrad Rožmberk – NPÚ;historický přehled;https://www.zamek-ceskykrumlov.cz/cs/tipy-na-vylet/10584-z-ceskeho-krumlova-na-hrad-rozmberk;hrad Rožmberk;B
SRC000006;Petr Vok – Český rozhlas Dvojka;popularizační historický text;https://dvojka.rozhlas.cz/364-schuzka-petr-vok-z-rozmberka-7939489;koupě Bechyně 1569;C
SRC000007;Petr Vok – Třeboňsko;regionální historický přehled;https://www.trebonsko.cz/petr-vok-z-rozmberka;Třeboň, pohřeb, pasovští;C
SRC000008;Renesanční velmož Vilém z Rožmberka – Encyklopedie Český Krumlov;encyklopedie;https://encyklopedie.ckrumlov.cz/cz/mesto_histor_revevr/;Vilém z Rožmberka, sňatek s Polyxenou, bezdětnost, smrt 1592;B
